:START_ID,:END_ID,:TYPE
30064771077,30064771078,RECEIVER
30064771081,30064771082,RECEIVER
30064771086,68719476745,RECEIVER
30064771093,68719476755,RECEIVER
30064771098,68719476764,RECEIVER
30064771105,30064771106,RECEIVER
30064771110,30064771111,RECEIVER
30064771113,30064771114,RECEIVER
30064771117,68719476786,RECEIVER
30064771154,68719476815,RECEIVER
30064771166,68719476826,RECEIVER
30064771174,68719476840,RECEIVER
30064771176,30064771177,RECEIVER
30064771179,30064771180,RECEIVER
30064771196,30064771197,RECEIVER
30064771201,30064771202,RECEIVER
30064771204,68719476864,RECEIVER
30064771206,30064771207,RECEIVER
30064771208,68719476871,RECEIVER
30064771218,30064771219,RECEIVER
30064771223,68719476882,RECEIVER
30064771227,124554051586,RECEIVER
30064771228,124554051587,RECEIVER
30064771229,68719476889,RECEIVER
30064771230,124554051588,RECEIVER
30064771237,30064771238,RECEIVER
30064771240,30064771241,RECEIVER
30064771244,30064771245,RECEIVER
30064771247,30064771248,RECEIVER
30064771256,30064771257,RECEIVER
30064771259,30064771260,RECEIVER
30064771270,30064771271,RECEIVER
30064771272,30064771273,RECEIVER
30064771274,30064771275,RECEIVER
30064771280,30064771281,RECEIVER
30064771298,30064771299,RECEIVER
30064771306,30064771307,RECEIVER
30064771321,30064771322,RECEIVER
30064771323,30064771324,RECEIVER
30064771326,30064771327,RECEIVER
30064771330,68719476964,RECEIVER
30064771331,68719476968,RECEIVER
30064771332,124554051589,RECEIVER
30064771336,68719476976,RECEIVER
30064771337,30064771338,RECEIVER
30064771340,30064771341,RECEIVER
30064771344,30064771345,RECEIVER
30064771349,68719476992,RECEIVER
30064771354,68719476997,RECEIVER
30064771359,68719477003,RECEIVER
30064771364,68719477007,RECEIVER
30064771372,68719477017,RECEIVER
30064771378,68719477023,RECEIVER
30064771383,68719477029,RECEIVER
30064771387,68719477035,RECEIVER
30064771392,68719477042,RECEIVER
30064771393,68719477044,RECEIVER
30064771395,68719477047,RECEIVER
30064771398,68719477052,RECEIVER
30064771400,68719477055,RECEIVER
30064771402,68719477059,RECEIVER
30064771410,68719477066,RECEIVER
30064771417,30064771418,RECEIVER
30064771420,68719477077,RECEIVER
30064771425,68719477087,RECEIVER
30064771430,30064771431,RECEIVER
30064771434,30064771435,RECEIVER
30064771437,30064771438,RECEIVER
30064771441,30064771442,RECEIVER
30064771443,68719477102,RECEIVER
30064771451,68719477116,RECEIVER
30064771456,30064771457,RECEIVER
30064771461,30064771462,RECEIVER
30064771463,30064771464,RECEIVER
30064771465,30064771466,RECEIVER
30064771467,30064771468,RECEIVER
30064771469,30064771470,RECEIVER
30064771472,30064771473,RECEIVER
30064771474,30064771475,RECEIVER
30064771476,30064771477,RECEIVER
30064771478,30064771479,RECEIVER
30064771480,30064771481,RECEIVER
30064771482,30064771483,RECEIVER
30064771484,30064771485,RECEIVER
30064771486,30064771487,RECEIVER
30064771488,30064771489,RECEIVER
30064771490,30064771491,RECEIVER
30064771492,30064771493,RECEIVER
30064771494,30064771495,RECEIVER
30064771496,30064771497,RECEIVER
30064771498,30064771499,RECEIVER
30064771500,30064771501,RECEIVER
30064771502,30064771503,RECEIVER
30064771504,30064771505,RECEIVER
30064771510,30064771511,RECEIVER
30064771516,30064771517,RECEIVER
30064771519,68719477186,RECEIVER
30064771529,30064771530,RECEIVER
