:START_ID,:END_ID,:TYPE
25769803778,25769803780,DOMINATE
25769803780,146028888065,DOMINATE
25769803785,68719476760,DOMINATE
25769803787,146028888066,DOMINATE
25769803788,30064771120,DOMINATE
25769803790,146028888067,DOMINATE
25769803794,146028888070,DOMINATE
25769803796,30064771163,DOMINATE
25769803800,146028888073,DOMINATE
25769803803,30064771220,DOMINATE
25769803807,30064771277,DOMINATE
25769803808,68719476897,DOMINATE
25769803816,146028888081,DOMINATE
25769803825,68719477041,DOMINATE
25769803826,146028888083,DOMINATE
25769803828,90194313309,DOMINATE
25769803830,146028888084,DOMINATE
25769803839,30064771458,DOMINATE
25769803841,30064771507,DOMINATE
25769803842,68719477223,DOMINATE
25769803843,30064771533,DOMINATE
25769803845,146028888092,DOMINATE
25769803846,30064771532,DOMINATE
25769803848,146028888093,DOMINATE
25769803850,146028888094,DOMINATE
25769803852,30064771574,DOMINATE
25769803853,90194313357,DOMINATE
25769803856,146028888095,DOMINATE
25769803859,146028888096,DOMINATE
25769803864,146028888097,DOMINATE
25769803867,146028888098,DOMINATE
25769803871,146028888099,DOMINATE
25769803872,146028888100,DOMINATE
25769803873,146028888101,DOMINATE
25769803877,30064771645,DOMINATE
25769803878,55834574956,DOMINATE
25769803884,30064771692,DOMINATE
25769803885,128849018911,DOMINATE
25769803891,30064771730,DOMINATE
25769803895,30064771745,DOMINATE
25769803899,30064771752,DOMINATE
25769803904,68719477484,DOMINATE
25769803905,68719477487,DOMINATE
25769803910,68719477525,DOMINATE
25769803920,68719477613,DOMINATE
25769803927,68719477674,DOMINATE
25769803931,146028888137,DOMINATE
25769803932,68719477702,DOMINATE
25769803933,68719477706,DOMINATE
25769803936,68719478327,DOMINATE
25769803946,68719478416,DOMINATE
25769803948,68719478469,DOMINATE
25769803948,68719478465,DOMINATE
25769803971,90194313708,DOMINATE
25769803971,68719478549,DOMINATE
25769803979,30064772516,DOMINATE
25769803980,68719478556,DOMINATE
25769803985,68719478598,DOMINATE
25769803990,30064772569,DOMINATE
25769803991,30064772592,DOMINATE
25769803992,30064772607,DOMINATE
25769804001,146028888160,DOMINATE
25769804011,68719478746,DOMINATE
25769804016,68719478761,DOMINATE
25769804017,146028888165,DOMINATE
25769804024,30064772763,DOMINATE
25769804026,90194313773,DOMINATE
25769804027,68719478837,DOMINATE
25769804028,128849018960,DOMINATE
25769804028,68719478845,DOMINATE
25769804031,146028888170,DOMINATE
25769804035,68719478877,DOMINATE
25769804038,146028888173,DOMINATE
25769804041,30064772855,DOMINATE
25769804042,68719478931,DOMINATE
25769804043,128849018963,DOMINATE
25769804043,68719478938,DOMINATE
25769804043,146028888174,DOMINATE
25769804046,128849018964,DOMINATE
25769804051,128849018967,DOMINATE
25769804051,68719478962,DOMINATE
25769804051,146028888177,DOMINATE
25769804055,146028888180,DOMINATE
25769804057,146028888184,DOMINATE
25769804069,68719479028,DOMINATE
25769804070,128849018977,DOMINATE
25769804070,68719479044,DOMINATE
25769804070,146028888187,DOMINATE
25769804073,68719479062,DOMINATE
25769804073,146028888190,DOMINATE
25769804075,146028888191,DOMINATE
25769804084,68719479101,DOMINATE
25769804086,128849018982,DOMINATE
25769804086,68719479105,DOMINATE
25769804086,146028888196,DOMINATE
25769804100,30064773062,DOMINATE
25769804101,128849018989,DOMINATE
25769804102,68719479171,DOMINATE
25769804103,128849018990,DOMINATE
25769804108,68719479205,DOMINATE
25769804117,146028888208,DOMINATE
25769804118,68719479243,DOMINATE
25769804121,30064773187,DOMINATE
25769804124,128849018999,DOMINATE
25769804128,68719479296,DOMINATE
25769804131,68719479302,DOMINATE
25769804134,30064773309,DOMINATE
25769804136,30064773391,DOMINATE
25769804139,68719479412,DOMINATE
25769804141,68719479432,DOMINATE
25769804142,68719479447,DOMINATE
25769804143,68719479467,DOMINATE
25769804162,30064773534,DOMINATE
25769804171,30064773559,DOMINATE
25769804189,128849019027,DOMINATE
25769804189,68719479644,DOMINATE
25769804192,90194313976,DOMINATE
25769804195,30064773649,DOMINATE
25769804199,30064773661,DOMINATE
25769804209,128849019034,DOMINATE
25769804212,128849019035,DOMINATE
25769804212,68719479732,DOMINATE
25769804214,30064773727,DOMINATE
25769804216,146028888232,DOMINATE
25769804222,128849019038,DOMINATE
25769804226,30064773754,DOMINATE
25769804230,68719479767,DOMINATE
25769804231,30064773743,DOMINATE
25769804243,146028888242,DOMINATE
25769804248,30064773858,DOMINATE
25769804258,128849019058,DOMINATE
25769804258,68719479932,DOMINATE
25769804258,146028888250,DOMINATE
25769804259,146028888251,DOMINATE
25769804268,68719479958,DOMINATE
25769804269,68719480000,DOMINATE
25769804271,68719480022,DOMINATE
25769804271,68719480021,DOMINATE
25769804278,30064774070,DOMINATE
25769804281,68719480052,DOMINATE
25769804283,30064774068,DOMINATE
25769804286,146028888265,DOMINATE
25769804292,30064774135,DOMINATE
25769804293,30064774162,DOMINATE
25769804303,146028888270,DOMINATE
25769804304,146028888271,DOMINATE
25769804314,30064774268,DOMINATE
25769804316,128849019080,DOMINATE
25769804324,68719480296,DOMINATE
25769804329,128849019084,DOMINATE
25769804334,128849019086,DOMINATE
25769804335,30064774342,DOMINATE
25769804341,146028888272,DOMINATE
25769804344,146028888273,DOMINATE
25769804346,68719480420,DOMINATE
25769804352,128849019092,DOMINATE
25769804355,30064774446,DOMINATE
25769804358,30064774450,DOMINATE
25769804361,68719480528,DOMINATE
25769804363,68719480551,DOMINATE
25769804368,68719480564,DOMINATE
25769804371,68719480579,DOMINATE
25769804372,128849019099,DOMINATE
25769804376,30064774550,DOMINATE
25769804379,68719480655,DOMINATE
25769804380,68719480659,DOMINATE
25769804381,30064774548,DOMINATE
25769804382,68719480722,DOMINATE
25769804385,68719480779,DOMINATE
25769804387,146028888276,DOMINATE
25769804390,146028888278,DOMINATE
25769804391,68719480781,DOMINATE
25769804394,128849019103,DOMINATE
25769804396,30064774638,DOMINATE
25769804397,68719480793,DOMINATE
25769804398,30064774635,DOMINATE
25769804399,30064774650,DOMINATE
25769804401,128849019105,DOMINATE
25769804405,146028888280,DOMINATE
25769804408,146028888281,DOMINATE
25769804409,68719480880,DOMINATE
25769804415,30064774777,DOMINATE
25769804416,68719480909,DOMINATE
25769804417,68719480923,DOMINATE
25769804419,68719480958,DOMINATE
25769804424,68719481051,DOMINATE
25769804425,30064774840,DOMINATE
25769804428,30064774794,DOMINATE
25769804429,30064774791,DOMINATE
25769804433,30064774811,DOMINATE
25769804434,30064774808,DOMINATE
25769804439,68719481070,DOMINATE
25769804440,68719481064,DOMINATE
25769804446,146028888290,DOMINATE
25769804448,146028888291,DOMINATE
25769804452,68719481115,DOMINATE
25769804452,146028888295,DOMINATE
25769804455,30064774905,DOMINATE
25769804456,30064774914,DOMINATE
25769804457,146028888297,DOMINATE
25769804459,146028888298,DOMINATE
25769804463,30064774952,DOMINATE
25769804465,90194314224,DOMINATE
25769804470,30064774950,DOMINATE
25769804477,30064774991,DOMINATE
25769804478,30064774995,DOMINATE
25769804487,124554051666,DOMINATE
25769804488,146028888301,DOMINATE
25769804496,128849019130,DOMINATE
25769804500,30064775055,DOMINATE
25769804501,90194314241,DOMINATE
25769804502,30064775053,DOMINATE
25769804505,30064775062,DOMINATE
25769804511,90194314250,DOMINATE
25769804514,68719481379,DOMINATE
25769804521,30064775129,DOMINATE
25769804523,68719481418,DOMINATE
25769804529,68719481495,DOMINATE
25769804533,68719481490,DOMINATE
25769804533,68719481484,DOMINATE
25769804536,30064775184,DOMINATE
25769804539,68719481520,DOMINATE
25769804552,90194314280,DOMINATE
25769804561,30064775271,DOMINATE
25769804564,90194314354,DOMINATE
25769804568,68719481797,DOMINATE
25769804569,128849019152,DOMINATE
25769804571,128849019153,DOMINATE
25769804573,30064775547,DOMINATE
25769804575,30064775473,DOMINATE
25769804578,68719481853,DOMINATE
25769804580,68719481880,DOMINATE
25769804584,68719482219,DOMINATE
25769804587,68719482013,DOMINATE
25769804588,30064775545,DOMINATE
25769804591,68719482080,DOMINATE
25769804592,68719482145,DOMINATE
25769804593,68719482188,DOMINATE
25769804598,90194314409,DOMINATE
25769804600,68719482234,DOMINATE
25769804601,128849019157,DOMINATE
25769804606,68719482302,DOMINATE
25769804611,30064775807,DOMINATE
25769804612,68719482351,DOMINATE
25769804613,68719482355,DOMINATE
25769804614,68719482391,DOMINATE
25769804615,30064775805,DOMINATE
25769804617,68719482403,DOMINATE
25769804620,68719482430,DOMINATE
25769804622,68719482446,DOMINATE
25769804628,30064775901,DOMINATE
25769804630,128849019170,DOMINATE
25769804632,68719482485,DOMINATE
25769804634,146028888320,DOMINATE
25769804638,30064775925,DOMINATE
25769804639,68719482537,DOMINATE
25769804640,30064775921,DOMINATE
25769804643,68719482580,DOMINATE
25769804644,128849019174,DOMINATE
25769804644,68719482602,DOMINATE
25769804648,30064776004,DOMINATE
25769804649,30064776012,DOMINATE
25769804652,128849019175,DOMINATE
25769804655,68719482709,DOMINATE
25769804659,128849019177,DOMINATE
25769804667,68719482811,DOMINATE
25769804674,30064776179,DOMINATE
25769804675,68719482830,DOMINATE
25769804676,68719482872,DOMINATE
25769804677,30064776177,DOMINATE
25769804685,68719482936,DOMINATE
25769804688,30064776312,DOMINATE
25769804690,30064776326,DOMINATE
25769804692,68719482965,DOMINATE
25769804694,90194314518,DOMINATE
25769804695,30064776310,DOMINATE
25769804700,30064776360,DOMINATE
25769804701,68719483040,DOMINATE
25769804703,68719483055,DOMINATE
25769804703,68719483054,DOMINATE
25769804708,128849019187,DOMINATE
25769804711,128849019189,DOMINATE
25769804713,128849019191,DOMINATE
25769804715,128849019192,DOMINATE
25769804722,30064776448,DOMINATE
25769804723,68719483116,DOMINATE
25769804733,30064776499,DOMINATE
25769804734,68719483165,DOMINATE
25769804735,68719483174,DOMINATE
25769804736,30064776496,DOMINATE
25769804738,68719483213,DOMINATE
25769804744,68719483269,DOMINATE
25769804748,128849019200,DOMINATE
25769804751,30064776627,DOMINATE
25769804755,68719483302,DOMINATE
25769804756,68719483323,DOMINATE
25769804757,30064776625,DOMINATE
25769804764,30064776705,DOMINATE
25769804766,30064776702,DOMINATE
25769804770,68719483509,DOMINATE
25769804771,68719483523,DOMINATE
25769804777,30064776846,DOMINATE
25769804778,30064776856,DOMINATE
25769804779,30064776868,DOMINATE
25769804780,30064776878,DOMINATE
25769804781,128849019209,DOMINATE
25769804788,128849019212,DOMINATE
25769804791,128849019214,DOMINATE
25769804792,30064776966,DOMINATE
25769804794,30064776929,DOMINATE
25769804795,68719483669,DOMINATE
25769804796,68719483672,DOMINATE
25769804797,68719483714,DOMINATE
25769804798,30064776927,DOMINATE
25769804807,30064776990,DOMINATE
25769804809,30064777036,DOMINATE
25769804815,30064777047,DOMINATE
25769804817,68719483856,DOMINATE
25769804821,30064777071,DOMINATE
25769804823,90194314718,DOMINATE
25769804826,30064777119,DOMINATE
25769804828,30064777132,DOMINATE
25769804831,68719483937,DOMINATE
25769804832,68719483939,DOMINATE
25769804836,128849019229,DOMINATE
25769804838,30064777208,DOMINATE
25769804839,30064777251,DOMINATE
25769804840,30064777262,DOMINATE
25769804844,30064777178,DOMINATE
25769804846,68719483999,DOMINATE
25769804847,68719484019,DOMINATE
25769804848,128849019231,DOMINATE
25769804848,68719484036,DOMINATE
25769804848,146028888348,DOMINATE
25769804852,68719484074,DOMINATE
25769804853,68719484116,DOMINATE
25769804853,68719484115,DOMINATE
25769804858,128849019232,DOMINATE
25769804858,68719484178,DOMINATE
25769804863,30064777380,DOMINATE
25769804865,68719484211,DOMINATE
25769804866,68719484232,DOMINATE
25769804867,128849019233,DOMINATE
25769804867,68719484256,DOMINATE
25769804870,30064777438,DOMINATE
25769804872,68719484267,DOMINATE
25769804873,68719484279,DOMINATE
25769804874,128849019234,DOMINATE
25769804874,68719484295,DOMINATE
25769804877,30064777562,DOMINATE
25769804879,90194314780,DOMINATE
25769804883,30064777491,DOMINATE
25769804884,90194314784,DOMINATE
25769804888,30064777518,DOMINATE
25769804889,68719484350,DOMINATE
25769804892,124554051699,DOMINATE
25769804896,68719484410,DOMINATE
25769804900,128849019240,DOMINATE
25769804903,30064777605,DOMINATE
25769804906,68719484438,DOMINATE
25769804910,68719484468,DOMINATE
25769804916,30064777697,DOMINATE
25769804917,30064777702,DOMINATE
25769804919,30064777661,DOMINATE
25769804920,90194314819,DOMINATE
25769804921,68719484513,DOMINATE
25769804922,146028888360,DOMINATE
25769804923,68719484532,DOMINATE
25769804924,68719484543,DOMINATE
25769804925,68719484550,DOMINATE
25769804926,128849019247,DOMINATE
