:START_ID,:END_ID,:TYPE
47244640256,68719476760,CONDITION
47244640259,68719476838,CONDITION
47244640260,30064771172,CONDITION
47244640261,30064771206,CONDITION
47244640262,30064771209,CONDITION
47244640264,30064771236,CONDITION
47244640271,30064771360,CONDITION
47244640273,30064771368,CONDITION
47244640275,30064771386,CONDITION
47244640276,30064771397,CONDITION
47244640278,30064771399,CONDITION
47244640279,30064771401,CONDITION
47244640280,25769803831,CONDITION
47244640282,30064771419,CONDITION
47244640284,30064771443,CONDITION
47244640285,30064771452,CONDITION
47244640286,30064771455,CONDITION
47244640287,30064771506,CONDITION
47244640289,30064771538,CONDITION
47244640290,30064771575,CONDITION
47244640291,25769803855,CONDITION
47244640293,25769803858,CONDITION
47244640294,30064771601,CONDITION
47244640295,25769803863,CONDITION
47244640297,25769803866,CONDITION
47244640298,68719477306,CONDITION
47244640299,25769803875,CONDITION
47244640300,30064771671,CONDITION
47244640301,30064771680,CONDITION
47244640304,30064771764,CONDITION
47244640306,30064771819,CONDITION
47244640307,30064771825,CONDITION
47244640309,30064771832,CONDITION
47244640312,30064771870,CONDITION
47244640313,30064771874,CONDITION
47244640320,30064772362,CONDITION
47244640323,25769803951,CONDITION
47244640324,30064772375,CONDITION
47244640327,30064772391,CONDITION
47244640328,30064772398,CONDITION
47244640333,30064772417,CONDITION
47244640339,68719478532,CONDITION
47244640341,30064772494,CONDITION
47244640342,30064772500,CONDITION
47244640344,30064772522,CONDITION
47244640345,30064772525,CONDITION
47244640346,25769803981,CONDITION
47244640350,30064772538,CONDITION
47244640351,30064772542,CONDITION
47244640353,30064772552,CONDITION
47244640355,30064772565,CONDITION
47244640356,30064772588,CONDITION
47244640357,30064772602,CONDITION
47244640367,30064772677,CONDITION
47244640375,68719478868,CONDITION
47244640376,30064772822,CONDITION
47244640377,30064772811,CONDITION
47244640387,30064772974,CONDITION
47244640401,30064773116,CONDITION
47244640404,30064773163,CONDITION
47244640407,30064773206,CONDITION
47244640409,68719479351,CONDITION
47244640413,25769804140,CONDITION
47244640415,30064773501,CONDITION
47244640417,30064773507,CONDITION
47244640422,30064773527,CONDITION
47244640424,30064773553,CONDITION
47244640425,68719479594,CONDITION
47244640428,68719479615,CONDITION
47244640435,30064773619,CONDITION
47244640437,30064773638,CONDITION
47244640447,30064773750,CONDITION
47244640449,68719479779,CONDITION
47244640451,30064773806,CONDITION
47244640452,30064773854,CONDITION
47244640454,30064773873,CONDITION
47244640456,68719479896,CONDITION
47244640459,30064773905,CONDITION
47244640461,30064773916,CONDITION
47244640464,30064773969,CONDITION
47244640466,30064773976,CONDITION
47244640467,30064773979,CONDITION
47244640468,30064773984,CONDITION
47244640469,30064773988,CONDITION
47244640470,30064773994,CONDITION
47244640471,30064774001,CONDITION
47244640472,68719480000,CONDITION
47244640477,30064774033,CONDITION
47244640478,30064774037,CONDITION
47244640479,68719480086,CONDITION
47244640481,30064774099,CONDITION
47244640482,30064774106,CONDITION
47244640486,30064774204,CONDITION
47244640488,30064774239,CONDITION
47244640492,30064774278,CONDITION
47244640495,30064774295,CONDITION
47244640496,30064774299,CONDITION
47244640499,30064774313,CONDITION
47244640500,30064774317,CONDITION
47244640501,30064774351,CONDITION
47244640502,30064774392,CONDITION
47244640505,30064774442,CONDITION
47244640506,30064774458,CONDITION
47244640508,30064774475,CONDITION
47244640512,30064774544,CONDITION
47244640513,68719480712,CONDITION
47244640514,30064774604,CONDITION
47244640515,30064774608,CONDITION
47244640516,30064774616,CONDITION
47244640517,30064774697,CONDITION
47244640518,30064774751,CONDITION
47244640519,30064774766,CONDITION
47244640521,68719480963,CONDITION
47244640524,30064774800,CONDITION
47244640527,30064774817,CONDITION
47244640528,30064774824,CONDITION
47244640529,30064774838,CONDITION
47244640532,30064774883,CONDITION
47244640533,30064774889,CONDITION
47244640534,30064774892,CONDITION
47244640538,30064774936,CONDITION
47244640543,30064774956,CONDITION
47244640546,25769804473,CONDITION
47244640558,30064775016,CONDITION
47244640561,30064775047,CONDITION
47244640565,30064775088,CONDITION
47244640569,68719481393,CONDITION
47244640572,30064775144,CONDITION
47244640573,25769804530,CONDITION
47244640576,30064775176,CONDITION
47244640584,30064775237,CONDITION
47244640588,30064775267,CONDITION
47244640590,30064775415,CONDITION
47244640597,25769804589,CONDITION
47244640600,30064775694,CONDITION
47244640601,30064775700,CONDITION
47244640602,30064775710,CONDITION
47244640603,30064775799,CONDITION
47244640604,25769804633,CONDITION
47244640611,30064776021,CONDITION
47244640612,68719482752,CONDITION
47244640614,30064776153,CONDITION
47244640615,30064776159,CONDITION
47244640617,30064776168,CONDITION
47244640619,30064776201,CONDITION
47244640620,30064776237,CONDITION
47244640621,30064776241,CONDITION
47244640622,30064776249,CONDITION
47244640624,25769804693,CONDITION
47244640625,30064776321,CONDITION
47244640630,68719483108,CONDITION
47244640631,25769804724,CONDITION
47244640634,30064776480,CONDITION
47244640637,30064776506,CONDITION
47244640640,68719483214,CONDITION
47244640641,68719483217,CONDITION
47244640644,30064776624,CONDITION
47244640645,68719483323,CONDITION
47244640646,68719483328,CONDITION
47244640648,68719483389,CONDITION
47244640649,25769804765,CONDITION
47244640650,30064776768,CONDITION
47244640653,30064776892,CONDITION
47244640657,30064777056,CONDITION
47244640662,30064777133,CONDITION
47244640663,68719483956,CONDITION
47244640664,30064777149,CONDITION
47244640694,30064777642,CONDITION
47244640696,30064777643,CONDITION
47244640698,30064777667,CONDITION
47244640702,30064778116,CONDITION
